Model,Disk_Size_Bytes,Memory_Usage_Bytes,Accuracy,Precision,Recall,F1_Score
LogisticRegression,1766,5947392,0.9982615357416466,0.9982485591302621,0.9982615357416466,0.9982395483803712
DecisionTree,193355,180224,0.9997793361751167,0.9997814088653693,0.9997793361751167,0.9997802601501669
RandomForest,15384460,0,0.9997865388518933,0.999788216052786,0.9997865388518933,0.999787300497836
